alias,productName,productNameAmh,instituteName,minimumBalance,repaymentOptions,collateralRequirements,financialGoals,loanCalculatorEnabled,term,isFeatured,digital,loanPurpose,processingFees,showonHomepage,interestPaymentPeriod,description,prepaymentPenalties,membershipRequired,openingBalance,category,interestMin,creditScoreRequirement,mandatorySaving,loanAmount,genderBased,instituteId,currency,interestMax,repaymentFrequency,subCategory,productType,disbursementTime,eligibilityCriteria,interestFree,insuranceRequirements,latePaymentPenalties
Diaspora-Housing-Loan(DHL),Diaspora Housing Loan,,Hibret Bank,0,,,,FALSE,0,TRUE,FALSE,"Anyone with a valid Diaspora ID is entitled to this loan. However, to be entitled to a housing loan, the applicant should channel at least 20% of the total loan request amount in acceptable FCY prior to loan approval",0,TRUE,Monthly,"Anyone with a valid Diaspora ID is entitled to this loan. However, to be entitled to a housing loan, the applicant should channel at least 20% of the total loan request amount in acceptable FCY prior to loan approval",0,FALSE,0,Credit category1,6,0,FALSE,0,FALSE,E,ETB,0,,,Credit,,Anyone with a valid Diaspora ID ,FALSE,,0
Foreign-Currency-Accounts(FCA),Foreign Currency Accounts,,Wegagen Bank,0,,,,FALSE,,TRUE,FALSE,,,TRUE,Yearly,"Persons who do not fall under in the list of eligible entities, but whose salaries are fully paid from sources outside Ethiopia and paid in cash or credited to their local currency accounts such as foreign employees of embassies, consulates, legations, ECA, AU, UN, etc., may open only a NR transferable Birr accounts for their local expenses",,FALSE,0,Standard,14,,,,FALSE,h,ETB,0,,,Saving,,"•	Embassies •	Diplomats •	International organizations •	Expatriate employees of international organizations •	Non-Governmental Organizations •	Non-resident companies •	Foreign investors •	Ethiopians living abroad and foreign nationals of Ethiopian origin •	Exporters •	Recipients of inward remittances",FALSE,,
Project-Financing/Investment-Loan(PFIL),Project Financing/Investment Loan,,Wegagen Bank,0,,,,,0,,FALSE,Extends financing to applicants who have been investing on project nature business,0,,Monthly,"•	Avails credit facility for the purpose of covering capital expenditures for fixed/plant assets, pre-operating expenses/interest, and initial working capital for green field and/or renovation/expansion projects in any business sector of the economy",0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,h,,0,,,Credit,,Applicants who fulfil general and specific eligibility Criteria of the Bank,FALSE,,0
Time-Deposit(TD),Time Deposit,,Enat Bank,0,,,,FALSE,,TRUE,FALSE,,,FALSE,Yearly,"Fixed deposits are taken for a fixed period, at a specific agreed and fixed interest rate with options of interest accrual on a monthly basis or capitalized monthly and payable on maturity as per the agreement between the customer and the Bank",,FALSE,0,targeted,0,,,,FALSE,O,ETB,0,,,Saving,,Regular,FALSE,,
Provident-Fund-Account(PFA),Provident Fund Account,,Oromia Bank,0,,,,,,,FALSE,,,,Yearly,"The Provident Fund Solution Account shall feature a special time deposit component tailored to benefit various organizations (private, NGO) and their employees. This account offers attractive interest rates and access to a loan facility.",,FALSE,0,targeted,0,,,,FALSE,y,,0,,,Saving,,"•	A letter of request signed by the employer, accompanied by a list of employees, as the employer/organization serves as the guardian of the account until the termination of the employees' contracts",FALSE,,
Partial-Financing-for-Acquired-and-Foreclosed-Collateral(PFPC)),Partial Financing for Acquired and Foreclosed Collateral,,Cooperative Bank Of Oromia,0,,,,,0,,FALSE,"Partial Financing is a financing scheme whereby the Bank covers a portion of the auction price of foreclosed and acquired properties presented for sale by the Bank. These properties mean buildings, vehicles, machineries, and business establishments that are either held as collateral or acquired by the Bank.",0,,Monthly,"Partial Financing is a financing scheme whereby the Bank covers a portion of the auction price of foreclosed and acquired properties presented for sale by the Bank. These properties mean buildings, vehicles, machineries, and business establishments that are either held as collateral or acquired by the Bank.",0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,a2yoGtTc,,0,,,Credit,,,FALSE,,0
Business-Loans(BL),Business Loans,,Enat Bank,0,,,,,0,,FALSE,"The Bank supports you in improving your immediate working capital requirements with its Overdraft and Short term credit facilities. Whether you engage in Domestic or International business; plan to launch new business or expand existing one; need to purchase Vehicle or Machineries, approach Enat Bank to get prompt response for the realization of your plan. If you are an Exporter and face financial shortage in your pre-shipment processes, visit Enat Bank, you will get a solution. We have pre-shipment export credit facilities to assist you purchase raw materials, processing, warehousing, packing & transporting the goods until the time of shipment",0,,Monthly,"The Bank supports you in improving your immediate working capital requirements with its Overdraft and Short term credit facilities. Whether you engage in Domestic or International business; plan to launch new business or expand existing one; need to purchase Vehicle or Machineries, approach Enat Bank to get prompt response for the realization of your plan. If you are an Exporter and face financial shortage in your pre-shipment processes, visit Enat Bank, you will get a solution. We have pre-shipment export credit facilities to assist you purchase raw materials, processing, warehousing, packing & transporting the goods until the time of shipment",0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,O,,0,,,Credit,,Regular,FALSE,,0
Personal-Loan(PL),Personal Loan,,Dashen Bank,0,,,,,0,,FALSE,It’s a personal loan for individual (non-business) customers to finance the purchase of household equipment and home supplies,0,,Yearly,It’s a personal loan for individual (non-business) customers to finance the purchase of household equipment and home supplies,0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,Q,,0,,,Credit,,regular,FALSE,,0
One-time-Merchandise-Loan(OTML),One-time Merchandise Loan,,Cooperative Bank Of Oromia,0,,,,,0,,FALSE,"merchandise loan availed only for a specified period, usually up to one year.",0,,Monthly,"merchandise loan availed only for a specified period, usually up to one year.",0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,a2yoGtTc,,0,,,Credit,,Business,FALSE,,0
SMEA,SME (Small and Medium Enterprise) Account,,Berhan Bank,0,,,,,,,FALSE,,,,Yearly,"•	The Account is designed to support Small and Medium Enterprise (SME) owners to save and expand their businesses. ",,FALSE,0,targeted,0,,,,FALSE,1kOT4VpC,,0,,,Saving,,SME owners,FALSE,,
